participant,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Brooke,IN,IN,WIN,LOW,HIGH,LOW,LOW,WIN,HIGH,LOW,OUT,WIN,LOW,WINNER
Shirley,IN,IN,IN,HIGH,IN,IN,WIN,HIGH,LOW,WIN,HIGH,LOW,WIN,RUNNER-UP
Sheldon,HIGH,HIGH,IN,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,WIN,LOW,OUT,
John,HIGH,HIGH,IN,HIGH,WIN,IN,LOW,LOW,IN,LOW,LOW,OUT,,
Sylva,IN,IN,HIGH,HIGH,LOW,WIN,HIGH,HIGH,WIN,OUT,,,,
Casey,WIN,WIN,LOW,IN,IN,IN,LOW,LOW,LOW,OUT,,,,
Emily,IN,IN,IN,LOW,HIGH,LOW,LOW,HIGH,OUT,,,,,
Katsuji,IN,IN,IN,WIN,LOW,IN,LOW,OUT,,,,,,
Jamie,LOW,LOW,IN,HIGH,IN,IN,OUT,,,,,,,
Jim,IN,IN,IN,LOW,IN,HIGH,OUT,,,,,,,
Amanda,IN,IN,IN,LOW,LOW,OUT,,,,,,,,
Silvia,IN,IN,LOW,LOW,OUT,,,,,,,,,
BJ,LOW,LOW,LOW,OUT,,,,,,,,,,
Sam,IN,IN,OUT,,,,,,,,,,,
Annie,OUT,OUT,,,,,,,,,,,,
Gerald,OUT,OUT,,,,,,,,,,,,
